timestamp,mode,temp,rh,co2,soil,sp_temp,sp_rh,sp_co2,temp_60s,rh_60s,co2_60s,humidifier_on,extractor_on,circulation_on,ssr_on,fan_pwm,humid_pwm,led_pwm
1765191418,auto,21.016666666666666,68.462,698.6132100732954,1.8833333333333335,25.0,60.0,800.0,21.016666666666666,68.462,698.6132100732954,0,0,1,0,0,0,0
1765191419,auto,21.013333333333335,68.57000000000001,698.9632470513067,1.51,25.0,60.0,800.0,21.013333333333335,68.57000000000001,698.9632470513067,0,0,1,0,0,0,0
1765191420,auto,21.01,68.65599999999999,699.4002729359146,1.2933333333333332,25.0,60.0,800.0,21.01,68.65599999999999,699.4002729359146,0,0,1,0,0,0,0
1765191421,auto,21.01,68.65599999999999,699.4002729359146,1.2933333333333332,25.0,60.0,800.0,21.01,68.65599999999999,699.4002729359146,0,0,1,0,0,0,0
1765191422,auto,21.01,68.724,699.8621910551402,1.2833333333333334,25.0,60.0,800.0,21.01,68.724,699.8621910551402,0,0,1,0,0,0,0
1765191423,auto,21.006666666666668,68.78,700.3085337385982,1.3033333333333335,25.0,60.0,800.0,21.006666666666668,68.78,700.3085337385982,0,0,1,0,0,0,0
1765191424,auto,21.006666666666668,68.78,700.3085337385982,1.3033333333333335,25.0,60.0,800.0,21.006666666666668,68.78,700.3085337385982,0,0,1,0,0,0,0
1765191425,auto,21.003333333333334,68.824,700.7799736170186,1.3466666666666667,25.0,60.0,800.0,21.003333333333334,68.824,700.7799736170186,0,0,1,0,0,0,0
1765191426,auto,21.0,68.858,701.295981531913,1.4033333333333333,25.0,60.0,800.0,21.0,68.858,701.295981531913,0,0,1,0,0,0,0
1765191427,auto,21.0,68.886,701.867187072339,1.4799999999999998,25.0,60.0,800.0,21.0,68.886,701.867187072339,0,0,1,0,0,0,0
1765191428,auto,20.996666666666666,68.91,702.0150309506373,1.53,25.0,60.0,800.0,20.996666666666666,68.91,702.0150309506373,0,0,1,0,0,0,0
1765191429,auto,20.996666666666666,68.91,702.0150309506373,1.53,25.0,60.0,800.0,20.996666666666666,68.91,702.0150309506373,0,0,1,0,0,0,0
1765191430,auto,20.993333333333332,68.928,701.977521665446,1.8,25.0,60.0,800.0,20.993333333333332,68.928,701.977521665446,0,0,1,0,0,0,0
1765191431,auto,20.986666666666665,68.942,701.8372651658121,2.2866666666666666,25.0,60.0,800.0,20.986666666666665,68.942,701.8372651658121,0,0,1,0,0,0,0
1765191432,auto,20.983333333333334,68.954,701.4690856160685,3.0066666666666664,25.0,60.0,800.0,20.983333333333334,68.954,701.4690856160685,0,0,1,0,0,0,0
1765191433,auto,20.983333333333334,68.954,701.4690856160685,3.0066666666666664,25.0,60.0,800.0,20.983333333333334,68.954,701.4690856160685,0,0,1,0,0,0,0
1765191434,auto,20.976666666666667,68.964,701.2353599312479,3.6799999999999997,25.0,60.0,800.0,20.976666666666667,68.964,701.2353599312479,0,0,1,0,0,0,0
1765191435,auto,20.973333333333333,68.97,701.3297519518735,4.306666666666667,25.0,60.0,800.0,20.973333333333333,68.97,701.3297519518735,0,0,1,0,0,0,0
1765191436,auto,20.97,68.976,701.2428263663114,4.696666666666666,25.0,60.0,800.0,20.97,68.976,701.2428263663114,0,0,1,0,0,0,0
1765191437,auto,20.97,68.976,701.2428263663114,4.696666666666666,25.0,60.0,800.0,20.97,68.976,701.2428263663114,0,0,1,0,0,0,0
1765191438,auto,20.97,68.982,701.178978456418,4.873333333333333,25.0,60.0,800.0,20.97,68.982,701.178978456418,0,0,1,0,0,0,0
1765191439,auto,20.966666666666665,68.986,701.1942849194926,4.863333333333333,25.0,60.0,800.0,20.966666666666665,68.986,701.1942849194926,0,0,1,0,0,0,0
1765191440,auto,20.963333333333335,68.988,701.0699994436447,4.866666666666667,25.0,60.0,800.0,20.963333333333335,68.988,701.0699994436447,0,0,1,0,0,0,0
1765191441,auto,20.963333333333335,68.988,701.0699994436447,4.866666666666667,25.0,60.0,800.0,20.963333333333335,68.988,701.0699994436447,0,0,1,0,0,0,0
1765191442,auto,20.956666666666667,69.03,700.9949996105513,4.8933333333333335,25.0,60.0,800.0,20.956666666666667,69.03,700.9949996105513,0,0,1,0,0,0,0
1765191443,auto,20.953333333333333,69.104,701.0144997273858,4.670000000000001,25.0,60.0,800.0,20.953333333333333,69.104,701.0144997273858,0,0,1,0,0,0,0
1765191444,auto,20.95,69.202,700.84514980917,4.22,25.0,60.0,800.0,20.95,69.202,700.84514980917,0,0,1,0,0,0,0
