,count,mean,std,min,5%,25%,50%,75%,95%,max
temp,6764.0,29.589916722987248,1.9013233740720592,26.94,27.01,27.41,30.188333333333333,31.395416666666666,32.0,32.02
rh,6764.0,51.50193777456281,10.235729846699673,36.0,36.3345,41.01,51.88,59.01,68.0,71.0
co2,6764.0,654.0306583541015,217.02913238514301,405.12,415.89300000000003,474.07250000000005,598.98,769.36,1228.81,1240.2
soil,6764.0,12.744907329771056,7.448961582173161,1.23,1.89,2.86,17.4475,18.16,19.59,24.48
ph,6764.0,7.971120811157107,0.15676426777951266,4.5,7.89,8.0,8.0,8.0,8.0,8.0
ec,6764.0,1.114301609008476,0.3252656318401919,0.7,0.7200000000000001,0.7399999999999999,1.37,1.3999999999999997,1.42,1.4400000000000002
par,6764.0,109.01916972381797,10.790231567438274,0.07333333333333335,104.84525,108.44,108.94666666666666,113.05083333333333,115.28666666666668,116.91000000000001
water_level,6764.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
