timestamp,mode,temp,rh,co2,soil,sp_temp,sp_rh,sp_co2,temp_pred_1m,temp_pred_5m,rh_pred_1m,rh_pred_5m,co2_pred_1m,co2_pred_5m,humidifier,extractor,circulation_fan,ssr_light,fan_pwm,humid_pwm,led_pwm
1765208737,auto,22.50333333333333,64.022,587.6921909,1.8666666666666665,25.0,60.0,800.0,22.50333333333333,,64.022,,587.6921909,,0,0,1,0,0,0,0
1765209290,ia,24.680000000000003,60.0,500.0,40.0,25.0,60.0,800.0,24.680000000000003,,60.0,,500.0,,0,0,1,0,0,0,0
1765210227,ia,25.56,60.0,500.0,40.0,25.0,60.0,800.0,25.56,,60.0,,500.0,,0,1,1,0,255,0,0
1765210272,ia,25.56,60.0,500.0,40.0,25.0,60.0,800.0,25.56,,60.0,,500.0,,0,1,1,0,255,0,0
1765211010,ia,25.56,60.0,500.0,40.0,25.0,60.0,800.0,25.56,,60.0,,500.0,,0,1,1,0,255,0,0
1765211089,ia,25.26,60.0,500.0,40.0,25.0,60.0,800.0,25.26,,60.0,,500.0,,0,0,1,0,0,0,0
1765211121,ia,25.26,60.0,500.0,40.0,25.0,60.0,800.0,25.26,,60.0,,500.0,,0,0,1,0,0,0,0
1765211353,ia,25.26,60.0,500.0,40.0,25.0,60.0,800.0,25.26,,60.0,,500.0,,0,0,1,0,0,0,0
1765212633,ia,25.26,60.0,500.0,40.0,25.0,60.0,800.0,25.26,,60.0,,500.0,,0,0,1,0,0,0,0
1765217978,ia,26.44,43.0,591.44,0.0,25.0,60.0,800.0,26.44,,43.0,,591.44,,1,1,1,0,255,255,0
1765217979,ia,26.44,43.0,591.413,0.0,25.0,60.0,800.0,26.44,,43.0,,591.413,,1,1,1,0,255,255,0
1765217980,ia,26.44,43.0,591.5531,0.0,25.0,60.0,800.0,26.44,,43.0,,591.5531,,1,1,1,0,255,255,0
